,title,link
122,Business Advisory and Outsourcing Manager at MGI Alekim LLP,https://www.myjobmag.co.ke/job/business-advisory-and-outsourcing-manager-mgi-alekim-llp
123,Finance Business Partner at Absa Bank Limited,https://www.myjobmag.co.ke/job/finance-business-partner-absa-bank-limited-2
124,Business Development Interns- Pensions at Cytonn Investments,https://www.myjobmag.co.ke/job/business-development-interns-pensions-cytonn-investments
125,Chief Business Officer at Sanergy,https://www.myjobmag.co.ke/job/chief-business-officer-sanergy
126,Knowledge and Insights Analyst at The Coca-Cola Company,https://www.myjobmag.co.ke/job/knowledge-and-insights-analyst-the-coca-cola-company
127,"Analyst, Private Sector Investments at Cedar Consulting Ltd",https://www.myjobmag.co.ke/job/cedar-consulting-ltd
128,Business Development Specialist at SANCOM Ltd,https://www.myjobmag.co.ke/job/sancom-ltd
129,Zonal Business Manager at Airtel,https://www.myjobmag.co.ke/job/zonal-business-manager-airtel-8
130,Business Development Manager at Tramigo,https://www.myjobmag.co.ke/job/business-development-manager-tramigo-1
131,Expert in Academy on Business and Human Rights for Japanese Companies at United Nations Development Programme (UNDP),https://www.myjobmag.co.ke/job/undp-3
132,Intern/Junior Business Financier at Brainnest,https://www.myjobmag.co.ke/job/intern-junior-business-financier-brainnest-4
133,Custody Analyst at Absa Bank Limited,https://www.myjobmag.co.ke/job/custody-analyst-absa-bank-limited
134,Business Intelligence Manager at AIC Kijabe Hospital,https://www.myjobmag.co.ke/job/business-intelligence-manager-aic-kijabe-hospital-1
135,Data Analyst Intern at Pula,https://www.myjobmag.co.ke/job/data-analyst-intern-pula
136,Senior Credit Analyst – SME Banking at ABC Bank (African Banking Corporation Limited),https://www.myjobmag.co.ke/job/senior-credit-analyst-sme-banking-abc-bank-african-banking-corporation-limited-1
137,HR Business Partner - Regional Office (three positions) at UN Women,https://www.myjobmag.co.ke/job/hr-business-partner-regional-office-three-positions-un-women
138,IRAU Credit Risk Analyst at Citi,https://www.myjobmag.co.ke/job/citi
139,Macroeconomic Modelling Analyst at Equity Bank Kenya,https://www.myjobmag.co.ke/job/macroeconomic-modelling-analyst-equity-bank-kenya-4
140,HR Business Partner at SunCulture Kenya Ltd,https://www.myjobmag.co.ke/job/hr-business-partner-sunculture-kenya-ltd-1
141,Quality Assurance Analyst at African Entrepreneur Collective (AEC),https://www.myjobmag.co.ke/job/quality-assurance-analyst-african-entrepreneur-collective-aec
142,Senior Analyst - HR Total Rewards at Bioversity International,https://www.myjobmag.co.ke/job/senior-analyst-hr-total-rewards-bioversity-international
143,Head of Alumni and Partner Relations at Strathmore Business School,https://www.myjobmag.co.ke/job/head-of-alumni-and-partner-relations-strathmore-business-school
144,"Analyst, Water at FSD Africa",https://www.myjobmag.co.ke/job/analyst-water-fsd-africa
145,"Analyst, Learning and Partnerships at FSD Africa",https://www.myjobmag.co.ke/job/analyst-learning-and-partnerships-fsd-africa
146,"Business Intern 2023, Sales and Marketing at Google",https://www.myjobmag.co.ke/job/business-intern-2023-sales-and-marketing-google
147,Fraud Analyst & Monitoring Officer at HF Group,https://www.myjobmag.co.ke/job/fraud-analyst-monitoring-officer-hf-group
148,System Analyst - ABAP - (KET 6) at Kenya Electricity Transmission Company Limited (KETRACO),https://www.myjobmag.co.ke/job/system-analyst-abap-ket-6-kenya-electricity-transmission-company-limited-ketraco
149,System Analyst - Business Intelligence (Bl) (KET 6) at Kenya Electricity Transmission Company Limited (KETRACO),https://www.myjobmag.co.ke/job/system-analyst-business-intelligence-bl-ket-6-kenya-electricity-transmission-company-limited-ketraco
150,Manager Business Development - (KET 4) at Kenya Electricity Transmission Company Limited (KETRACO),https://www.myjobmag.co.ke/job/kenya-electricity-transmission-company-limited-ketraco
151,Business Development Manager- Financial Institutions at PalmPay,https://www.myjobmag.co.ke/job/business-development-manager-financial-institutions-palmpay-1
152,Head of Actuarial - General Insurance and Health Business at Old Mutual Kenya,https://www.myjobmag.co.ke/job/head-of-actuarial-general-insurance-and-health-business-old-mutual-kenya
153,Secretarial Studies\Business Administration Internship at Kenya Medical Research - KEMRI,https://www.myjobmag.co.ke/job/secretarial-studies-business-administration-internship-kemya-medical-research-kemri
154,BPO Quality Analyst -Entry Level at Dial Afrika,https://www.myjobmag.co.ke/job/bpo-quality-analyst-entry-level-dial-afrika
155,Group Finance Lead Analyst at Diageo,https://www.myjobmag.co.ke/job/diageo-2
156,Digital Channels Support Analyst at NCBA Group,https://www.myjobmag.co.ke/job/digital-channels-support-analyst-ncba-group-1
157,Analyst – Market Risk at SBM Bank,https://www.myjobmag.co.ke/job/analyst-market-risk-sbm-bank
158,Talent Acquisition Analyst at Bioversity International,https://www.myjobmag.co.ke/job/talent-acquisition-analyst-bioversity-international
159,Resource Mobilization Analyst at Bioversity International,https://www.myjobmag.co.ke/job/bioversity-international
160,Business Development Manager at Kenya Association of Manufacturers,https://www.myjobmag.co.ke/job/business-development-manager-kenya-association-of-manufacturers-1
161,Business Development Manager at Kenya Association of Manufacturers,https://www.myjobmag.co.ke/job/business-development-manager-kenya-association-of-manufacturers
162,CRM System Analyst at Co-operative Bank of Kenya,https://www.myjobmag.co.ke/job/crm-system-analyst-co-operative-bank-of-kenya
163,Systems Analyst – MTO Integrations at Co-operative Bank of Kenya,https://www.myjobmag.co.ke/job/systems-analyst-mto-integrations-co-operative-bank-of-kenya-1
164,Business Administration Internship - 2 Positions at Kenya Medical Research - KEMRI,https://www.myjobmag.co.ke/job/business-administration-internship-2-positions-kemya-medical-research-kemri
165,Analyst Requisition to Pay at Standard Chartered Bank Kenya,https://www.myjobmag.co.ke/job/analyst-requisition-to-pay-standard-chartered-bank-kenya
166,Business Consultant and Coach at Brites Management,https://www.myjobmag.co.ke/job/brites-management-3
167,Business Development Manager - Compressor Technique Service (CTS) at Atlas Copco,https://www.myjobmag.co.ke/job/business-development-manager-compressor-technique-service-cts-atlas-copco
168,Business Analyst at World Vision Kenya,https://www.myjobmag.co.ke/job/business-analyst-world-vision-kenya
169,Investment Research Analyst at Britam,https://www.myjobmag.co.ke/job/investment-research-analyst-britam
170,"Credit Evaluation Manager, Business and Commercial at Stanbic Bank",https://www.myjobmag.co.ke/job/credit-evaluation-manager-business-and-commercial-stanbic-bank
171,"Financials Analyst, Frontier Africa at Stanbic Bank",https://www.myjobmag.co.ke/job/stanbic-bank-6
172,Financial Modelling & Transaction Analyst at Safaricom Kenya,https://www.myjobmag.co.ke/job/financial-modelling-transaction-analyst-safaricom-kenya
173,Business System Coordinator at The Coca-Cola Company,https://www.myjobmag.co.ke/job/business-system-coordinator-the-coca-cola-company
174,Cost Analyst/Manager - Opex Management and Consolidation at Safaricom Kenya,https://www.myjobmag.co.ke/job/cost-analyst-manager-opex-management-and-consolidation-safaricom-kenya
175,Business Development Manager at Nairobi Securities Exchange,https://www.myjobmag.co.ke/job/business-development-manager-nairobi-securities-exchange
176,Corporate Business Operations Associate (Fixed Term Contract) - (2200004G) at Britam,https://www.myjobmag.co.ke/job/corporate-business-operations-associate-fixed-term-contract-2200004g-britam
177,Business Development at Bosch Africa,https://www.myjobmag.co.ke/job/business-development-bosch-africa
178,"Associate Director, Business Development at FHI360 NGO",https://www.myjobmag.co.ke/job/associate-director-business-development-fhi360-ngo
179,CAS and Business Line Specialist IGT East and West Africa at Philips,https://www.myjobmag.co.ke/job/cas-and-business-line-specialist-igt-east-and-west-africa-philips
180,CLM Portfolio Analyst at Absa Bank Limited,https://www.myjobmag.co.ke/job/clm-portfolio-analyst-absa-bank-limited
181,Support Analyst at Dynasoft Business Solutions,https://www.myjobmag.co.ke/job/support-analyst-dynasoft-business-solutions
182,Data Analyst at Corporate Staffing,https://www.myjobmag.co.ke/job/data-analyst-corporate-staffing
183,"Manager, Business Development - Digital Partnerships at MasterCard",https://www.myjobmag.co.ke/job/manager-business-development-digital-partnerships-mastercard
